ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,KR,ETF,26.28,manual,k_etf_rank_dividend_yield,26.28%,k-etf_rank_dividend_yield.csv
489030,PLUS 고배당주위클리커버드콜,KR,ETF,23.31,manual,k_etf_rank_dividend_yield,23.31%,k-etf_rank_dividend_yield.csv
0040X0,SOL 팔란티어미국채커버드콜혼합,KR,ETF,21.36,manual,k_etf_rank_dividend_yield,21.36%,k-etf_rank_dividend_yield.csv
494300,KODEX 미국나스닥100데일리커버드콜OTM,KR,ETF,17.51,manual,k_etf_rank_dividend_yield,17.51%,k-etf_rank_dividend_yield.csv
490600,RISE 미국배당100데일리고정커버드콜,KR,ETF,17.02,manual,k_etf_rank_dividend_yield,17.02%,k-etf_rank_dividend_yield.csv
491620,RISE 미국테크100데일리고정커버드콜,KR,ETF,16.46,manual,k_etf_rank_dividend_yield,16.46%,k-etf_rank_dividend_yield.csv
475080,KODEX 테슬라커버드콜채권혼합액티브,KR,ETF,15.29,manual,k_etf_rank_dividend_yield,15.29%,k-etf_rank_dividend_yield.csv
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,KR,ETF,14.95,manual,k_etf_rank_dividend_yield,14.95%,k-etf_rank_dividend_yield.csv
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),KR,ETF,14.9,manual,k_etf_rank_dividend_yield,14.90%,k-etf_rank_dividend_yield.csv
0018C0,PLUS 고배당주위클리고정커버드콜,KR,ETF,14.82,manual,k_etf_rank_dividend_yield,14.82%,k-etf_rank_dividend_yield.csv
490590,RISE 미국AI밸류체인데일리고정커버드콜,KR,ETF,14.06,manual,k_etf_rank_dividend_yield,14.06%,k-etf_rank_dividend_yield.csv
480030,ACE 미국500데일리타겟커버드콜(합성),KR,ETF,13.7,manual,k_etf_rank_dividend_yield,13.70%,k-etf_rank_dividend_yield.csv
473330,SOL 미국30년국채커버드콜(합성),KR,ETF,13.37,manual,k_etf_rank_dividend_yield,13.37%,k-etf_rank_dividend_yield.csv
476550,TIGER 미국30년국채커버드콜액티브(H),KR,ETF,13.28,manual,k_etf_rank_dividend_yield,13.28%,k-etf_rank_dividend_yield.csv
481060,KODEX 미국30년국채타겟커버드콜(합성 H),KR,ETF,13.23,manual,k_etf_rank_dividend_yield,13.23%,k-etf_rank_dividend_yield.csv
0005A0,KODEX 미국S&P500데일리커버드콜OTM,KR,ETF,13.21,manual,k_etf_rank_dividend_yield,13.21%,k-etf_rank_dividend_yield.csv
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),KR,ETF,13.14,manual,k_etf_rank_dividend_yield,13.14%,k-etf_rank_dividend_yield.csv
494420,PLUS 미국배당증가성장주데일리커버드콜,KR,ETF,12.96,manual,k_etf_rank_dividend_yield,12.96%,k-etf_rank_dividend_yield.csv
493810,TIGER 미국AI빅테크10타겟데일리커버드콜,KR,ETF,12.91,manual,k_etf_rank_dividend_yield,12.91%,k-etf_rank_dividend_yield.csv
483280,KODEX 미국AI테크TOP10타겟커버드콜,KR,ETF,12.63,manual,k_etf_rank_dividend_yield,12.63%,k-etf_rank_dividend_yield.csv
486290,TIGER 미국나스닥100타겟데일리커버드콜,KR,ETF,12.55,manual,k_etf_rank_dividend_yield,12.55%,k-etf_rank_dividend_yield.csv
475720,RISE 200위클리커버드콜,KR,ETF,12.32,manual,k_etf_rank_dividend_yield,12.32%,k-etf_rank_dividend_yield.csv
290080,RISE 200고배당커버드콜ATM,KR,ETF,11.73,manual,k_etf_rank_dividend_yield,11.73%,k-etf_rank_dividend_yield.csv
472830,RISE 미국30년국채커버드콜(합성),KR,ETF,11.4,manual,k_etf_rank_dividend_yield,11.40%,k-etf_rank_dividend_yield.csv
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),KR,ETF,11.34,manual,k_etf_rank_dividend_yield,11.34%,k-etf_rank_dividend_yield.csv
472150,TIGER 배당커버드콜액티브,KR,ETF,11.27,manual,k_etf_rank_dividend_yield,11.27%,k-etf_rank_dividend_yield.csv
441680,TIGER 미국나스닥100커버드콜(합성),KR,ETF,10.95,manual,k_etf_rank_dividend_yield,10.95%,k-etf_rank_dividend_yield.csv
494210,SOL 미국500타겟데일리커버드콜액티브,KR,ETF,10.53,manual,k_etf_rank_dividend_yield,10.53%,k-etf_rank_dividend_yield.csv
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,KR,ETF,10.48,manual,k_etf_rank_dividend_yield,10.48%,k-etf_rank_dividend_yield.csv
483290,KODEX 미국배당다우존스타겟커버드콜,KR,ETF,10.42,manual,k_etf_rank_dividend_yield,10.42%,k-etf_rank_dividend_yield.csv
498400,KODEX 200타겟위클리커버드콜,KR,ETF,9.51,manual,k_etf_rank_dividend_yield,9.51%,k-etf_rank_dividend_yield.csv
0073X0,FOCUS 알리바바미국채커버드콜혼합,KR,ETF,9.47,manual,k_etf_rank_dividend_yield,9.47%,k-etf_rank_dividend_yield.csv
329200,TIGER 리츠부동산인프라,KR,ETF,9.26,manual,k_etf_rank_dividend_yield,9.26%,k-etf_rank_dividend_yield.csv
480040,ACE 미국반도체데일리타겟커버드콜(합성),KR,ETF,9.08,manual,k_etf_rank_dividend_yield,9.08%,k-etf_rank_dividend_yield.csv
458760,TIGER 미국배당다우존스타겟커버드콜2호,KR,ETF,9.05,manual,k_etf_rank_dividend_yield,9.05%,k-etf_rank_dividend_yield.csv
0132K0,PLUS 테슬라위클리커버드콜채권혼합,KR,ETF,9.01,manual,k_etf_rank_dividend_yield,9.01%,k-etf_rank_dividend_yield.csv
474220,TIGER 미국테크TOP10타겟커버드콜,KR,ETF,8.74,manual,k_etf_rank_dividend_yield,8.74%,k-etf_rank_dividend_yield.csv
482730,TIGER 미국S&P500타겟데일리커버드콜,KR,ETF,8.69,manual,k_etf_rank_dividend_yield,8.69%,k-etf_rank_dividend_yield.csv
476800,KODEX 한국부동산리츠인프라,KR,ETF,8.54,manual,k_etf_rank_dividend_yield,8.54%,k-etf_rank_dividend_yield.csv
441640,KODEX 미국배당커버드콜액티브,KR,ETF,8.48,manual,k_etf_rank_dividend_yield,8.48%,k-etf_rank_dividend_yield.csv
491630,RISE 미국반도체인버스(합성 H),KR,ETF,8.14,manual,k_etf_rank_dividend_yield,8.14%,k-etf_rank_dividend_yield.csv
0094M0,RISE 코리아밸류업위클리고정커버드콜,KR,ETF,7.88,manual,k_etf_rank_dividend_yield,7.88%,k-etf_rank_dividend_yield.csv
472920,HK 종합채권(AA-이상)액티브,KR,ETF,7.47,manual,k_etf_rank_dividend_yield,7.47%,k-etf_rank_dividend_yield.csv
