disagreementType,market,ticker,nameKr,assetType,mlAnomalyScore,mlAnomalyStatus,mlTopFeature,mlTopFeatureZ,ruleStatus,reasonCodes,expectedCagr,beta,mdd,dataYears,dividendYield
ml_flagged_rule_non_actionable,KR,489030,PLUS 고배당주위클리커버드콜,ETF,8.8356,ml_review,dividendYield,23.8621,warning,SHORT_HISTORY,-17.89,0.28,-37.83,1.79,23.31
ml_flagged_rule_non_actionable,KR,494300,KODEX 미국나스닥100데일리커버드콜OTM,ETF,6.2711,ml_review,dividendYield,17.7014,warning,SHORT_HISTORY,5.76,0.21,-25.89,1.59,17.51
ml_flagged_rule_non_actionable,KR,490600,RISE 미국배당100데일리고정커버드콜,ETF,6.2468,ml_review,dividendYield,17.1809,warning,SHORT_HISTORY,-2.08,0.03,-20.28,1.67,17.02
ml_flagged_rule_non_actionable,KR,491620,RISE 미국테크100데일리고정커버드콜,ETF,5.9389,ml_review,dividendYield,16.5861,warning,SHORT_HISTORY,15.23,0.3,-30.95,1.65,16.46
ml_flagged_rule_non_actionable,KR,490590,RISE 미국AI밸류체인데일리고정커버드콜,ETF,5.6912,ml_review,dividendYield,14.0368,warning,SHORT_HISTORY,40.79,0.49,-35.13,1.65,14.06
ml_flagged_rule_non_actionable,KR,475080,KODEX 테슬라커버드콜채권혼합액티브,ETF,5.6524,ml_review,dividendYield,15.3433,warning,SHORT_HISTORY,-5.37,0.17,-19.98,2.34,15.29
ml_flagged_rule_non_actionable,KR,498410,KODEX 금융고배당TOP10타겟위클리커버드콜,ETF,5.4226,ml_review,dividendYield,14.9822,warning,SHORT_HISTORY,15.22,0.44,-22.76,1.44,14.95
ml_flagged_rule_non_actionable,KR,476550,TIGER 미국30년국채커버드콜액티브(H),ETF,5.1365,ml_review,dividendYield,13.2083,warning,SHORT_HISTORY,-13.34,0.04,-30.78,2.25,13.28
ml_flagged_rule_non_actionable,KR,481060,KODEX 미국30년국채타겟커버드콜(합성 H),ETF,5.0998,ml_review,dividendYield,13.1552,warning,SHORT_HISTORY,-11.86,0.02,-29.82,2.07,13.23
ml_flagged_rule_non_actionable,US,AHR,American Healthcare REIT Inc. Common Stock,stock,5.0482,ml_review,expectedCagr,6.6107,warning,SHORT_HISTORY,79.04,0.5,-11.86,2.3,1.97
ml_flagged_rule_non_actionable,KR,473330,SOL 미국30년국채커버드콜(합성),ETF,5.0084,ml_review,dividendYield,13.3039,warning,SHORT_HISTORY,-3.81,-0.07,-16.37,2.41,13.37
ml_flagged_rule_non_actionable,KR,480030,ACE 미국500데일리타겟커버드콜(합성),ETF,4.9449,ml_review,dividendYield,13.6545,warning,SHORT_HISTORY,6.84,0.16,-21.0,2.09,13.7
ml_flagged_rule_non_actionable,KR,472150,TIGER 배당커버드콜액티브,ETF,4.9192,ml_review,dividendYield,11.0733,warning,SHORT_HISTORY,46.89,0.93,-22.73,2.46,11.27
ml_flagged_rule_non_actionable,US,GPMT,Granite Point Mortgage Trust Inc. Common Stock,stock,4.8895,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-25.08,1.48,-93.34,8.92,13.79
ml_flagged_rule_non_actionable,KR,352090,스톰테크,stock,4.8559,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-48.04,0.41,-84.58,2.52,11.82
ml_flagged_rule_non_actionable,KR,494420,PLUS 미국배당증가성장주데일리커버드콜,ETF,4.7885,ml_review,dividendYield,12.8684,warning,SHORT_HISTORY,-0.13,0.09,-16.59,1.59,12.96
ml_flagged_rule_non_actionable,KR,480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),ETF,4.7433,ml_review,dividendYield,13.0596,warning,SHORT_HISTORY,16.03,0.32,-32.37,2.09,13.14
ml_flagged_rule_non_actionable,KR,483650,달바글로벌,stock,4.7334,ml_review,dataYears,6.0,warning,SHORT_HISTORY,70.84,0.46,-49.39,1.01,1.7
ml_flagged_rule_non_actionable,KR,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,ETF,4.7093,ml_review,dividendYield,12.8153,warning,SHORT_HISTORY,16.24,0.3,-33.4,1.61,12.91
ml_flagged_rule_non_actionable,US,FBRT,Franklin BSP Realty Trust Inc. Common Stock,stock,4.6992,ml_review,dividendYield,6.1723,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,-13.85,0.76,-51.26,4.6,14.74
ml_flagged_rule_non_actionable,US,KREF,KKR Real Estate Finance Trust Inc. Common Stock,stock,4.6939,ml_review,dividendYield,6.2888,warning,DATA_PERIOD_MISMATCH,-12.41,0.82,-74.61,9.06,14.98
ml_flagged_rule_non_actionable,US,SUNS,Sunrise Realty Trust Inc. Common Stock,stock,4.6013,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-13.03,0.8,-52.67,1.88,14.29
ml_flagged_rule_non_actionable,KR,483280,KODEX 미국AI테크TOP10타겟커버드콜,ETF,4.5862,ml_review,dividendYield,12.5179,warning,SHORT_HISTORY,16.69,0.41,-34.25,2.0,12.63
ml_flagged_rule_non_actionable,US,PLTR,Palantir Technologies,stock,4.53,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH|DIVIDEND_CONFIRMED_ZERO,59.38,1.92,-84.62,5.65,0.0
ml_flagged_rule_non_actionable,KR,290080,RISE 200고배당커버드콜ATM,ETF,4.5152,ml_review,dividendYield,11.5619,warning,DATA_PERIOD_MISMATCH,-5.49,0.33,-47.02,8.24,11.73
ml_flagged_rule_non_actionable,KR,486290,TIGER 미국나스닥100타겟데일리커버드콜,ETF,4.4553,ml_review,dividendYield,12.4329,warning,SHORT_HISTORY,11.83,0.34,-28.01,1.92,12.55
ml_flagged_rule_non_actionable,US,DUST,Direxion Daily Gold Miners Index Bear 2X ETF,ETF,4.4507,ml_review,expectedCagr,7.1335,valid,,-56.37,-0.93,-99.98,9.99,9.03
ml_flagged_rule_non_actionable,KR,329180,HD현대중공업,stock,4.4471,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,49.89,0.78,-38.89,4.69,0.9
ml_flagged_rule_non_actionable,KR,499790,GS피앤엘,stock,4.4421,ml_review,dataYears,6.0,warning,SHORT_HISTORY,47.97,0.38,-37.15,1.42,0.8
ml_flagged_rule_non_actionable,KR,298040,효성중공업,stock,4.4363,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,70.35,1.16,-86.22,7.87,0.4
ml_flagged_rule_non_actionable,US,ULS,UL Solutions Inc. Class A Common Stock,stock,4.3966,ml_review,dataYears,6.0,warning,SHORT_HISTORY,64.61,0.65,-24.34,2.12,0.52
ml_flagged_rule_non_actionable,KR,489460,바이오비쥬,stock,4.3581,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-64.62,0.23,-67.96,1.02,0.74
ml_flagged_rule_non_actionable,KR,064400,LG씨엔에스,stock,4.3328,ml_review,dataYears,6.0,warning,SHORT_HISTORY,49.94,0.88,-43.12,1.3,2.6
ml_flagged_rule_non_actionable,US,USD,ProShares Ultra Semiconductors,ETF,4.3149,ml_review,expectedCagr,6.666,valid,,59.94,3.08,-77.85,9.99,0.24
ml_flagged_rule_non_actionable,KR,472830,RISE 미국30년국채커버드콜(합성),ETF,4.3118,ml_review,dividendYield,11.2114,warning,SHORT_HISTORY,-3.33,-0.09,-15.22,2.45,11.4
ml_flagged_rule_non_actionable,US,TECL,Direxion Daily Technology Bull 3X ETF,ETF,4.2912,ml_review,expectedCagr,5.4891,valid,,50.02,3.7,-77.96,9.99,3.78
ml_flagged_rule_non_actionable,KR,168360,펨트론,stock,4.2835,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,54.39,1.4,-74.6,3.5,0.2
ml_flagged_rule_non_actionable,KR,353200,대덕전자,stock,4.2288,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,59.31,1.24,-66.48,6.02,0.8
ml_flagged_rule_non_actionable,KR,031210,서울보증보험,stock,4.204,ml_review,dataYears,6.0,warning,SHORT_HISTORY,31.32,0.4,-29.19,1.2,5.2
ml_flagged_rule_non_actionable,US,OBDC,Blue Owl Capital Corporation Common Stock,stock,4.1961,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-4.66,0.74,-56.87,6.86,13.37
ml_flagged_rule_non_actionable,US,WFRD,Weatherford International plc Ordinary Shares,stock,4.1776,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,71.81,1.17,-70.83,5.39,0.98
ml_flagged_rule_non_actionable,US,AFCG,Advanced Flower Capital Inc. Common Stock,stock,4.1716,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-24.51,0.92,-87.8,5.19,9.46
ml_flagged_rule_non_actionable,KR,403870,HPSP,stock,4.1715,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,52.46,1.35,-65.81,3.87,1.7
ml_flagged_rule_non_actionable,US,IIPR,Innovative Industrial Properties Inc. Common Stock,stock,4.1676,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,12.35,1.1,-84.42,9.48,13.11
ml_flagged_rule_non_actionable,US,NREF,NexPoint Real Estate Finance Inc. Common Stock,stock,4.1669,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-3.0,0.58,-67.0,6.3,13.06
ml_flagged_rule_non_actionable,US,MITN,TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,stock,4.1505,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.52,0.06,-4.89,2.3,9.37
ml_flagged_rule_non_actionable,KR,478560,블랙야크아이앤씨,stock,4.1342,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-36.78,0.45,-46.01,1.34,9.3
ml_flagged_rule_non_actionable,KR,285490,노바텍,stock,4.1018,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,10.06,0.87,-78.79,7.56,13.1
ml_flagged_rule_non_actionable,US,MNRS,Grayscale Funds Trust Grayscale Bitcoin Miners ETF,ETF,4.0997,ml_review,expectedCagr,6.5818,warning,SHORT_HISTORY,59.23,2.39,-56.94,1.32,0.35
ml_flagged_rule_non_actionable,KR,453340,현대그린푸드,stock,4.09,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,14.5,0.23,-23.57,3.13,4.4
ml_flagged_rule_non_actionable,US,CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,stock,4.0855,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.56,0.09,-6.83,1.76,9.17
ml_flagged_rule_non_actionable,US,MFAO,MFA Financial Inc. 9.000% Senior Notes due 2029,stock,4.0684,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.08,0.1,-5.54,2.09,8.93
ml_flagged_rule_non_actionable,US,RCD,Ready Capital Corporation 9.00% Senior Notes due 2029,stock,4.0664,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-6.26,0.16,-26.89,1.43,9.9
ml_flagged_rule_non_actionable,US,CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,stock,4.0633,ml_review,dataYears,6.0,warning,SHORT_HISTORY,1.78,0.1,-5.94,2.0,8.94
ml_flagged_rule_non_actionable,US,MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,stock,4.0505,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-0.1,0.1,-5.74,2.34,8.84
ml_flagged_rule_non_actionable,US,ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,stock,4.0353,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.59,0.08,-7.99,1.9,8.98
ml_flagged_rule_non_actionable,US,RWTN,Redwood Trust Inc. 9.125% Senior Notes Due 2029,stock,4.0242,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.02,0.13,-10.58,2.31,9.18
ml_flagged_rule_non_actionable,US,ADAMG,Adamas Trust Inc. 9.125% Senior Notes Due 2030,stock,4.0187,ml_review,dataYears,6.0,warning,SHORT_HISTORY,0.44,0.16,-9.27,1.36,9.01
ml_flagged_rule_non_actionable,US,TRTX,TPG RE Finance Trust Inc. Common Stock,stock,4.0181,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-9.2,1.08,-87.97,8.85,11.41
ml_flagged_rule_non_actionable,US,MRP,Millrose Properties Inc. Class A Common Stock,stock,3.9734,ml_review,dataYears,6.0,warning,SHORT_HISTORY,20.78,0.71,-25.07,1.3,10.37
ml_flagged_rule_non_actionable,KR,257720,실리콘투,stock,3.9601,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,61.85,0.75,-75.04,4.65,0.8
ml_flagged_rule_non_actionable,KR,480040,ACE 미국반도체데일리타겟커버드콜(합성),ETF,3.9505,ml_review,dividendYield,8.7471,warning,SHORT_HISTORY,43.4,0.66,-42.62,2.09,9.08
ml_flagged_rule_non_actionable,KR,339950,아이비김영,stock,3.9423,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,4.42,0.45,-72.6,6.42,11.8
ml_flagged_rule_non_actionable,US,TQQQ,나스닥100 3배 레버리지 ETF,ETF,3.94,ml_review,expectedCagr,4.7452,valid,,43.75,3.42,-81.75,9.99,0.39
ml_flagged_rule_non_actionable,US,GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X ETF,ETF,3.9243,ml_review,expectedCagr,4.935,valid,,-37.84,2.78,-99.94,9.99,1.59
ml_flagged_rule_non_actionable,US,VRT,Vertiv Holdings LLC Class A Common Stock,stock,3.9218,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,55.8,1.41,-71.25,7.82,0.06
ml_flagged_rule_non_actionable,KR,199730,바이오인프라,stock,3.9174,ml_review,dataYears,6.0,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,-47.09,0.52,-89.12,3.23,6.26
ml_flagged_rule_non_actionable,US,IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,stock,3.9103,ml_review,dataYears,6.0,warning,DATA_PERIOD_MISMATCH,-33.35,0.6,-95.95,5.63,6.17
ml_flagged_rule_non_actionable,KR,479960,위너스일렉,stock,3.8921,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-56.48,0.89,-69.82,1.25,4.54
ml_flagged_rule_non_actionable,US,PMTV,PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030,stock,3.8561,ml_review,dataYears,6.0,warning,SHORT_HISTORY,-0.64,0.08,-3.43,1.28,6.69
ml_flagged_rule_non_actionable,KR,441680,TIGER 미국나스닥100커버드콜(합성),ETF,3.853,ml_review,dividendYield,10.7334,warning,SHORT_HISTORY|DATA_PERIOD_MISMATCH,4.32,0.17,-22.64,3.68,10.95
