market,ticker,nameKr,assetType,mlAnomalyScore,mlAnomalyLevel,mlAnomalyStatus,mlTopFeature,mlTopFeatureZ,mlFeatureZScores,mlImputedFields,qualityScore,qualityLevel,status,reasonCodes,expectedCagr,beta,mdd,dataYears,dividendYield,metricsStatus,dividendPolicy,experimentVersion,algorithm
US,MST,Defiance Leveraged Long + Income MSTR ETF,ETF,77.1485,high,ml_review,dividendYield,212.9188,"{""beta"": 6.8159, ""dataYears"": 2.9067, ""dividendYield"": 212.9188, ""expectedCagr"": 11.7107, ""mdd"": 3.1043}",,35,low,review,CAGR_EXTREME|BETA_EXTREME|SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-94.95,4.59,-97.3,1.07,622.08,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,BEX,Investment Managers Series Trust II Tradr 2X Long BE Daily ETF,ETF,57.3655,high,ml_review,expectedCagr,156.7613,"{""beta"": 12.2118, ""dataYears"": 3.1235, ""dividendYield"": 0.0, ""expectedCagr"": 156.7613, ""mdd"": 1.3045}",dividendYield,20,low,review,CAGR_EXTREME|BETA_EXTREME|SHORT_HISTORY|PRICE_METRICS_REVIEW_REQUIRED|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_MISSING,1325.03,7.63,-60.89,0.53,,review_required,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,ICOI,Bitwise Funds Trust Bitwise COIN Option Income Strategy ETF,ETF,40.0118,high,ml_review,dividendYield,108.1422,"{""beta"": 1.5442, ""dataYears"": 2.8746, ""dividendYield"": 108.1422, ""expectedCagr"": 9.0187, ""mdd"": 2.4142}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-72.26,1.62,-83.34,1.15,317.61,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,AMUU,Direxion Daily AMD Bull 2X ETF,ETF,37.0305,high,ml_review,expectedCagr,101.4542,"{""beta"": 6.7627, ""dataYears"": 2.8746, ""dividendYield"": 0.0172, ""expectedCagr"": 101.4542, ""mdd"": 1.307}",,50,low,review,CAGR_EXTREME|BETA_EXTREME|SHORT_HISTORY|PRICE_METRICS_REVIEW_REQUIRED,858.87,4.56,-60.94,1.15,3.41,review_required,dividend_confirmed,step113-2a-20260625,robust_mad_baseline
US,NLOP,Net Lease Office Properties Common Shares of Beneficial Interest,stock,32.2751,high,ml_review,dividendYield,88.6106,"{""beta"": 1.2024, ""dataYears"": 6.0, ""dividendYield"": 88.6106, ""expectedCagr"": 2.2146, ""mdd"": 0.2297}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-17.0,0.56,-66.72,2.58,184.63,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,XBTY,GraniteShares YieldBOOST Bitcoin ETF,ETF,29.4597,high,ml_review,dividendYield,76.3241,"{""beta"": 0.8697, ""dataYears"": 2.9188, ""dividendYield"": 76.3241, ""expectedCagr"": 9.1362, ""mdd"": 2.0415}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-73.25,1.24,-75.8,1.04,225.15,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,MSTY,Tidal Trust II YieldMax MSTR Option Income Strategy ETF,ETF,27.6641,high,ml_review,dividendYield,73.7982,"{""beta"": 2.556, ""dataYears"": 2.429, ""dividendYield"": 73.7982, ""expectedCagr"": 6.3884, ""mdd"": 2.8057}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-50.09,2.19,-91.26,2.26,217.81,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,APLX,Tradr 2X Long APLD Daily ETF,ETF,27.2524,high,ml_review,expectedCagr,66.2988,"{""beta"": 12.4071, ""dataYears"": 3.0513, ""dividendYield"": 0.0, ""expectedCagr"": 66.2988, ""mdd"": 2.4661}",dividendYield,20,low,review,CAGR_EXTREME|BETA_EXTREME|SHORT_HISTORY|PRICE_METRICS_REVIEW_REQUIRED|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_MISSING,562.56,7.74,-84.39,0.71,,review_required,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,CONY,Tidal ETF Trust II YieldMax COIN Option Income Strategy ETF,ETF,25.8881,high,ml_review,dividendYield,67.9997,"{""beta"": 2.5027, ""dataYears"": 2.2202, ""dividendYield"": 67.9997, ""expectedCagr"": 6.8096, ""mdd"": 2.8552}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-53.64,2.16,-92.26,2.78,200.96,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
US,IMST,Bitwise Funds Trust Bitwise MSTR Option Income Strategy ETF,ETF,24.9822,high,ml_review,dividendYield,63.0236,"{""beta"": 1.6685, ""dataYears"": 2.8746, ""dividendYield"": 63.0236, ""expectedCagr"": 9.0484, ""mdd"": 2.4968}",,65,low,review,SHORT_HISTORY|DIVIDEND_REVIEW_REQUIRED|DIVIDEND_EXTREME,-72.51,1.69,-85.01,1.15,186.5,short_history,dividend_review_required,step113-2a-20260625,robust_mad_baseline
