ticker,market,assetType,currency,priceSeriesAvailable,totalReturnSeriesAvailable,dividendSeriesAvailable,dataStart,dataEnd,dataYears,observationFrequency,benchmarkId,fxSeriesRequired,fxSeriesAvailable,isProxy,proxyTicker,dataSource,scenarioGrade,rawCagrRecalcStatus,rollingCagr10yRecalcStatus,mddRecalcStatus,rollingMdd10yRecalcStatus,betaRecalcStatus,metricsStatus,reasonCodes
GSST,US,ETF,USD,provider_refetch_required,no,yield_only,,,7.11,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
BSJQ,US,ETF,USD,provider_refetch_required,no,yield_only,,,7.8,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
CGSD,US,ETF,USD,provider_refetch_required,no,yield_only,,,3.58,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
DFSD,US,ETF,USD,provider_refetch_required,no,yield_only,,,4.53,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
DUSB,US,ETF,USD,provider_refetch_required,no,yield_only,,,2.66,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,short_history,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window|review_reason_price_history_shorter_than_3_years
JMST,US,ETF,USD,provider_refetch_required,no,yield_only,,,7.59,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
JPST,US,ETF,USD,provider_refetch_required,no,yield_only,,,9.02,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
RAVI,US,ETF,USD,provider_refetch_required,no,yield_only,,,9.99,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
SJNK,US,ETF,USD,provider_refetch_required,no,yield_only,,,9.99,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
VNLA,US,ETF,USD,provider_refetch_required,no,yield_only,,,9.51,daily_close_provider_input_not_persisted,SPY,yes,no,no,,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,B,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,insufficient_for_120m_or_requires_proxy,provider_refetch_required,ready,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
