market,ticker,yfSymbol,assetType,dividendYield,dividendPolicy,dividendSource,yieldStatus,reviewReason,latestClose,ttmDividend,dividendCount12m
US,A,A,stock,0.86,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,116.489998,1.006,4
US,AA,AA,stock,0.56,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,71.57,0.4,4
US,AACG,AACG,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,1.19,0.0,0
US,AAL,AAL,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,15.025,0.0,0
US,AAON,AAON,stock,0.28,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,143.190002,0.4,4
US,AAPL,AAPL,stock,0.34,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,311.130005,1.05,4
US,AAT,AAT,stock,6.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,22.52,1.36,4
US,ABBV,ABBV,stock,3.14,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,214.589996,6.74,4
US,ABEV,ABEV,stock,0.7,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,3.285,0.023,1
US,ABNB,ABNB,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,134.220001,0.0,0
US,ABR,ABR,stock,19.16,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,5.585,1.07,4
US,ABT,ABT,stock,2.82,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,86.610001,2.44,4
US,ABTC,ABTC,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,1.075,0.0,0
US,ACGL,ACGL,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,93.495003,0.0,0
US,ACHC,ACHC,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,24.025,0.0,0
US,ACI,ACI,stock,3.82,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,16.225,0.62,4
US,ACM,ACM,stock,1.56,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,72.934998,1.14,4
US,ACN,ACN,stock,1.73,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,179.369995,3.11,2
US,ACR,ACR,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,19.950001,0.0,0
US,ACRE,ACRE,stock,12.13,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,4.945,0.6,4
US,ADAM,ADAM,stock,9.61,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,9.2585,0.89,4
US,ADAMG,ADAMG,stock,9.01,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.305,2.28,4
US,ADAMH,ADAMH,stock,7.02,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.674999,1.803,3
US,ADAMI,ADAMI,stock,8.98,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.379999,2.28,4
US,ADAMO,ADAMO,stock,1.98,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.299999,0.501,1
US,ADBE,ADBE,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,243.860001,0.0,0
US,ADC,ADC,stock,4.12,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,75.720001,3.119,12
US,ADI,ADI,stock,0.99,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,410.079987,4.07,4
US,ADM,ADM,stock,2.63,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,78.404999,2.06,4
US,ADP,ADP,stock,2.93,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,221.369995,6.48,4
US,ADSK,ADSK,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,242.705002,0.0,0
US,ADT,ADT,stock,3.14,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,7.005,0.22,4
US,AEE,AEE,stock,2.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,110.870003,2.88,4
