market,ticker,providerSymbol,nameKr,assetType,sourceUniverse,tier,strategy,riskLevel,goals,beginnerFit,tags,dataStatus,expectedCagr,beta,mdd,dividendYield,displayDividendYield,dividendPolicy,dividendSource,metricsSource,reviewTag,reviewReason,notes
US,VOO,VOO,미국 S&P500 대표 ETF,ETF,manual_major_us_etf,core,core,medium,core|core,True,대표지수|S&P500|핵심,ready_with_metrics,13.71,1.0,-34.3,1.04,1.04%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
US,SPY,SPY,미국 S&P500 대표 ETF,ETF,manual_major_us_etf,core,core,medium,core|core,True,대표지수|S&P500|핵심,ready_with_metrics,13.68,1.0,-34.1,0.99,0.99%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
US,IVV,IVV,미국 S&P500 대표 ETF,ETF,manual_major_us_etf,core,core,medium,core|core,True,대표지수|S&P500|핵심,ready_with_metrics,13.67,1.0,-33.9,1.08,1.08%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
US,SPLG,SPLG,미국 S&P500 저비용 ETF,ETF,manual_major_us_etf,core,core,medium,core|growth,True,대표지수|S&P500|핵심,ready_with_metrics,13.72,1.0,-34.31,1.01,1.01%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,expanded US candidate; metrics pending; source snapshot 2026-05-24
US,VTI,VTI,미국 전체시장 ETF,ETF,manual_major_us_etf,core,core,medium,core|core,True,대표지수|전체시장|핵심,ready_with_metrics,13.29,1.02,-35.0,1.03,1.03%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
US,ITOT,ITOT,미국 전체시장 ETF,ETF,manual_major_us_etf,core,core,medium,core|growth,True,대표지수|전체시장|핵심,ready_with_metrics,13.26,1.02,-35.0,0.99,0.99%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,expanded US candidate; metrics pending; source snapshot 2026-05-24
US,SCHB,SCHB,미국 대형·전체시장 ETF,ETF,manual_major_us_etf,core,core,medium,core|growth,True,대표지수|전체시장|핵심,ready_with_metrics,13.28,1.03,-35.27,1.03,1.03%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,expanded US candidate; metrics pending; source snapshot 2026-05-24
US,QQQ,QQQ,나스닥100 ETF,ETF,manual_major_us_etf,core,growth,medium-high,growth|core,False,대표지수|나스닥100|성장|테크,ready_with_metrics,20.53,1.0,-35.62,0.39,0.39%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
US,QQQM,QQQM,나스닥100 저비용 ETF,ETF,manual_major_us_etf,core,growth,medium-high,growth|core,False,대표지수|나스닥100|성장|테크,ready_with_metrics,17.26,1.0,-35.57,0.43,0.43%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,expanded US candidate; metrics pending; source snapshot 2026-05-24
US,DIA,DIA,다우존스30 ETF,ETF,manual_major_us_etf,core,core,medium,core|core,True,대표지수|다우존스|핵심,ready_with_metrics,11.05,0.92,-37.06,1.38,1.38%,dividend_confirmed,existing_or_yfinance,yfinance_close_price,ready_with_metrics,,metrics close basis 2026-05-24; dividend from yfinance; validate before app import
