market,ticker,providerSymbol,nameKr,assetType,sourceUniverse,tier,strategy,riskLevel,goals,beginnerFit,tags,dataStatus,expectedCagr,beta,mdd,dividendYield,displayDividendYield,dividendPolicy,dividendSource,metricsSource,reviewTag,reviewReason,notes,marketCap,aum,sizeSource,underlyingTicker,exposureType,leverageMultiple,direction,resetFrequency,optionCoverageRatio,distributionFrequency,distributionType,issuer,inceptionDate,listingStatus,active,firstListedDate,lastTradingDate,sourceCheckedAt,officialSourceUrl,sourceId,cagrPolicy
KR,000020,000020,동화약품,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,174571687500,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000050,000050,경방,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,274975158100,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000070,000070,삼양홀딩스,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,461909864500,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000080,000080,하이트진로,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,1187362034230,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,0000D0,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),ETF,kr_etf_market_snapshot_20260524,standard,dividend,low-medium,dividend|core,True,채권|금리형|배당|인컴,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,underlying=KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR); source raw 2026-05-24; metrics pending,72380000000,,krx_market_cap,,ordinary_etf,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_etf_market_snapshot_20260524,legacy_v1_preserved
KR,0000J0,0000J0,PLUS 한화그룹주,ETF,kr_etf_market_snapshot_20260524,standard,core,medium,core,True,국내지수,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,underlying=FnGuide 한화그룹주 지수; source raw 2026-05-24; metrics pending,224701750000,,krx_market_cap,,ordinary_etf,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_etf_market_snapshot_20260524,legacy_v1_preserved
KR,0000Y0,0000Y0,HK 26-12 회사채(AA-이상)액티브,ETF,kr_etf_market_snapshot_20260524,standard,defensive,low-medium,defensive|core,True,채권|금리형,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,underlying=KAP 26-12 크레딧 채권 총수익지수(AA-이상); source raw 2026-05-24; metrics pending,122373350000,,krx_market_cap,,ordinary_etf,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_etf_market_snapshot_20260524,legacy_v1_preserved
KR,0000Z0,0000Z0,RISE 바이오TOP10액티브,ETF,kr_etf_market_snapshot_20260524,standard,growth,medium-high,growth,False,성장|테마,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,underlying=KRX 바이오 TOP 10 지수; source raw 2026-05-24; metrics pending,97258750000,,krx_market_cap,,ordinary_etf,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_etf_market_snapshot_20260524,legacy_v1_preserved
KR,000100,000100,유한양행,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,7032883168300,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000105,000105,유한양행우,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,88334312000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000120,000120,CJ대한통운,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,2043986022400,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000140,000140,하이트진로홀딩스,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,202595058450,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000150,000150,두산,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,25796779155000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000155,000155,두산우,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,2469813516000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000157,000157,두산2우B,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,451877228000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000180,000180,성창기업지주,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,85096952000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,0001A0,0001A0,덕양에너젠,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSDAQ,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSDAQ; dept=중견기업부; source raw 2026-05-24; metrics pending,347324641950,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,0001P0,0001P0,마이티 바이오시밀러&CDMO액티브,ETF,kr_etf_market_snapshot_20260524,standard,defensive,low-medium,defensive|core,True,채권|금리형|성장|테마,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,underlying=FnGuide 바이오시밀러&CDMO 지수; source raw 2026-05-24; metrics pending,13053600000,,krx_market_cap,,ordinary_etf,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_etf_market_snapshot_20260524,legacy_v1_preserved
KR,000210,000210,DL,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,1261544216800,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000220,000220,유유제약,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,67618433470,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000230,000230,일동홀딩스,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,97631784000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000240,000240,한국앤컴퍼니,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,2330660142000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000250,000250,삼천당제약,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSDAQ,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSDAQ; dept=중견기업부; source raw 2026-05-24; metrics pending,8726179584000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000270,000270,기아,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,64340062070400,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000300,000300,DH오토넥스,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,174035631000,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000320,000320,노루홀딩스,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,259974913560,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000370,000370,한화손해보험,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,839352798850,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000390,000390,SP삼화,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,210826884750,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
KR,000400,000400,롯데손해보험,stock,kr_stock_market_snapshot_20260524,standard,core,medium,core,True,KOSPI,review_required,,,,,확인 중,pending,pending,,review_required,metrics_pending_after_6000_rebuild,market=KOSPI; dept=; source raw 2026-05-24; metrics pending,692049993600,,krx_market_cap,,ordinary_equity,,long,not_applicable,,unknown,unknown,,,active,True,,,2026-07-22,,kr_stock_market_snapshot_20260524,legacy_v1_preserved
