market,ticker,dividendYield
KR,0040Y0,26.28
KR,489030,23.31
KR,0040X0,21.36
KR,494300,17.51
KR,490600,17.02
KR,491620,16.46
KR,475080,15.29
KR,498410,14.95
KR,0013R0,14.9
KR,0018C0,14.82
KR,490590,14.06
KR,480030,13.7
KR,473330,13.37
KR,476550,13.28
KR,481060,13.23
KR,0005A0,13.21
KR,480020,13.14
KR,494420,12.96
KR,493810,12.91
KR,483280,12.63
KR,486290,12.55
KR,475720,12.32
KR,290080,11.73
KR,472830,11.4
KR,0000D0,11.34
KR,472150,11.27
KR,441680,10.95
KR,494210,10.53
KR,0008S0,10.48
KR,483290,10.42
KR,498400,9.51
KR,0073X0,9.47
KR,329200,9.26
KR,480040,9.08
KR,458760,9.05
KR,0132K0,9.01
KR,474220,8.74
KR,482730,8.69
KR,476800,8.54
KR,441640,8.48
KR,491630,8.14
KR,0094M0,7.88
KR,472920,7.47
KR,0094L0,7.34
KR,429740,7.2
KR,289480,6.83
KR,455660,6.74
KR,352540,6.44
KR,460960,6.39
KR,276970,6.37
KR,468380,6.2
KR,341850,6.13
KR,480460,6.09
KR,354240,6.09
KR,0049M0,5.74
KR,458750,5.41
KR,0128D0,5.4
KR,487950,5.13
KR,484790,5.1
KR,0104P0,5.1
KR,316300,5.09
KR,458260,4.94
KR,476850,4.65
KR,437080,4.51
KR,481340,4.49
KR,441800,4.4
KR,0036D0,4.39
KR,104530,4.28
KR,0086B0,4.24
KR,385560,4.23
KR,0138T0,4.21
KR,332620,4.07
KR,447430,4.01
KR,468630,4.01
KR,453850,3.97
KR,322410,3.96
KR,167860,3.9
KR,497780,3.81
KR,217780,3.8
KR,476760,3.73
KR,0048J0,3.71
KR,251590,3.69
KR,498180,3.57
KR,148070,3.57
KR,250730,3.55
KR,279530,3.54
KR,464240,3.52
KR,0022T0,3.48
KR,181480,3.46
KR,251600,3.44
KR,161510,3.43
KR,352560,3.42
KR,466940,3.41
KR,332610,3.37
KR,166400,3.37
KR,475380,3.36
KR,440340,3.35
KR,438570,3.33
KR,140700,3.32
KR,461500,3.32
KR,484880,3.31
KR,0004G0,3.3
KR,245350,3.29
KR,091170,3.28
KR,236350,3.24
KR,365780,3.23
KR,498860,3.23
KR,0046A0,3.22
KR,472870,3.21
KR,437070,3.2
KR,468370,3.18
KR,336160,3.13
KR,476750,3.13
KR,182480,3.13
KR,465620,3.07
KR,0000Y0,3.07
KR,0052D0,3.06
KR,117690,3.04
KR,454780,3.02
KR,497880,3
KR,130730,2.97
KR,440650,2.93
KR,452360,2.89
KR,091220,2.88
KR,379790,2.88
KR,114100,2.87
KR,455030,2.86
KR,122260,2.85
KR,0105E0,2.84
KR,174350,2.83
KR,099140,2.83
KR,460660,2.79
KR,136340,2.78
KR,465780,2.78
KR,476450,2.78
KR,471460,2.76
KR,402970,2.74
KR,499660,2.73
KR,490490,2.73
KR,105010,2.73
KR,481050,2.72
KR,446720,2.72
KR,245360,2.71
KR,114460,2.7
KR,419890,2.68
KR,458730,2.67
KR,114820,2.67
KR,211900,2.65
KR,192720,2.64
KR,0144L0,2.6
KR,489250,2.6
KR,190620,2.55
KR,465350,2.54
KR,438560,2.53
KR,114470,2.52
KR,281990,2.52
KR,210780,2.49
KR,0085N0,2.47
KR,284980,2.46
KR,493420,2.44
KR,267440,2.44
KR,225030,2.43
KR,461600,2.41
KR,0091C0,2.4
KR,0104N0,2.38
KR,321410,2.38
KR,211560,2.37
KR,269530,2.36
KR,0015F0,2.35
KR,474800,2.34
KR,0085P0,2.34
KR,464470,2.32
KR,454180,2.29
KR,139270,2.27
KR,0098N0,2.27
KR,483030,2.25
KR,244670,2.25
KR,436140,2.23
KR,117680,2.21
KR,438080,2.2
KR,0086C0,2.2
KR,463640,2.2
KR,0015E0,2.2
KR,192090,2.18
KR,497510,2.17
KR,310080,2.15
KR,453630,2.14
KR,474390,2.11
KR,237370,2.09
KR,452250,2.05
KR,437350,2.04
KR,168580,1.99
KR,270800,1.99
KR,459580,1.98
KR,269370,1.97
KR,437370,1.97
KR,266550,1.95
KR,266160,1.95
KR,277540,1.94
KR,292560,1.94
KR,153130,1.92
KR,429000,1.92
KR,214980,1.92
KR,423160,1.92
KR,457700,1.91
KR,445910,1.87
KR,0013P0,1.87
KR,273140,1.85
KR,325020,1.85
KR,283580,1.85
KR,0049K0,1.85
KR,465670,1.83
KR,267490,1.83
KR,291680,1.83
KR,439870,1.82
KR,244660,1.81
KR,385550,1.81
KR,473290,1.8
KR,334700,1.8
KR,0036Z0,1.79
KR,373790,1.78
KR,491510,1.77
KR,0089D0,1.77
KR,139290,1.76
KR,329650,1.75
KR,438100,1.73
KR,433970,1.71
KR,439860,1.71
KR,091180,1.71
KR,0097L0,1.69
KR,463290,1.68
KR,363570,1.66
KR,438330,1.64
KR,0089C0,1.64
KR,0005C0,1.63
KR,217770,1.63
KR,457690,1.62
KR,476690,1.62
KR,456250,1.61
KR,225050,1.59
KR,215620,1.58
KR,469830,1.58
KR,267450,1.57
KR,101280,1.57
KR,0107F0,1.57
KR,448330,1.57
