market,ticker,dividendYield
KR,000020,0.99
KR,000050,1.7
KR,000070,5.7
KR,000080,3.7
KR,000100,0.6
KR,000120,0.8
KR,000140,3.4
KR,000150,0.4
KR,000220,2.5
KR,000230,0.86
KR,000240,2.6
KR,000250,0.02
KR,000270,4.2
KR,000320,2.7
KR,000390,5.1
KR,000430,2.73
KR,000440,2.2
KR,000480,4.19
KR,000490,1.0
KR,000500,0.1
KR,000590,0.6
KR,000640,0.8
KR,000660,0.3
KR,000670,0.0
KR,000700,5.7
KR,000720,0.8
KR,000810,3.9
KR,000850,3.5
KR,000860,1.5
KR,000880,0.9
KR,0008Z0,1.5
KR,000910,2.9
KR,000950,2.72
KR,000970,6.0
KR,000990,0.9
KR,001040,1.6
KR,001060,2.1
KR,0010V0,1.69
KR,001120,4.2
KR,001130,2.6
KR,001200,3.6
KR,001230,1.2
KR,001250,1.1
KR,001270,3.2
KR,001340,0.5
KR,001390,2.5
KR,001420,5.4
KR,001430,1.5
KR,001460,0.9
KR,001500,2.8
KR,001530,0.48
KR,001540,7.0
KR,001560,7.3
KR,001630,2.6
KR,001680,3.6
KR,001720,6.2
KR,001740,4.8
KR,001750,6.9
KR,001770,1.1
KR,001790,4.0
KR,001800,4.9
KR,001810,1.0
KR,001820,1.6
KR,001940,7.0
KR,002020,0.8
KR,002030,1.74
KR,002100,7.4
KR,002140,1.6
KR,002150,4.7
KR,002170,3.93
KR,002200,2.49
KR,002220,0.6
KR,002230,3.4
KR,002240,1.7
KR,002290,5.6
KR,002310,3.01
KR,002320,2.9
KR,002350,2.6
KR,002380,3.1
KR,002390,1.8
KR,002460,5.7
KR,002600,3.8
KR,002620,0.9
KR,002700,1.5
KR,002710,0.47
KR,002720,0.6
KR,002760,0.67
KR,002790,1.4
KR,002800,1.4
KR,002810,6.7
KR,002840,1.55
KR,002960,7.8
KR,002990,4.1
KR,003000,3.3
KR,003010,3.72
KR,003030,1.2
KR,003070,3.8
KR,003080,4.7
KR,003090,0.9
KR,003100,2.3
KR,003120,5.4
KR,003160,1.2
KR,003200,2.8
KR,003220,2.1
KR,003230,0.4
KR,003240,0.15
KR,003300,5.6
KR,003310,1.4
KR,003350,0.61
KR,003380,0.73
KR,003460,5.88
KR,003470,4.4
KR,003480,2.49
KR,003490,3.22
KR,003540,3.1
KR,003550,3.4
KR,003570,3.8
KR,003610,1.42
KR,003650,2.8
KR,003670,0.1
KR,003690,4.6
KR,003720,0.5
KR,003780,5.2
KR,003800,7.4
KR,003830,0.6
KR,003850,1.7
KR,003920,2.8
KR,003960,0.7
KR,004000,3.1
KR,004020,1.5
KR,004080,2.32
KR,004090,0.9
KR,004100,0.4
KR,004140,1.1
KR,004150,4.0
KR,004170,1.6
KR,004250,2.7
KR,004270,2.7
KR,004310,0.25
KR,004360,1.96
KR,004370,1.47
KR,004430,3.2
KR,004450,4.0
KR,004490,4.02
KR,004560,1.4
KR,004590,4.2
KR,004650,5.8
KR,004690,2.1
KR,004710,1.7
KR,004770,2.24
KR,004780,4.0
KR,004800,4.2
KR,004830,2.3
KR,004840,1.6
KR,004890,2.5
KR,004910,3.96
KR,004960,1.4
KR,004970,5.5
KR,004980,3.47
KR,004990,4.0
KR,005090,5.5
KR,005160,5.1
KR,005180,4.0
KR,005250,2.0
KR,005290,1.7
KR,005300,2.6
KR,005360,1.5
KR,005380,1.9
KR,005430,1.54
KR,005440,2.9
KR,005490,2.8
KR,005500,3.9
KR,005610,2.0
KR,005670,2.54
KR,005680,2.79
KR,005690,0.3
KR,005710,1.7
KR,005720,2.6
KR,005740,1.9
KR,005750,3.7
KR,005800,1.1
KR,005810,4.0
KR,005820,3.1
KR,005830,5.4
KR,005850,5.14
KR,005860,2.4
KR,005930,1.5
KR,005940,4.2
KR,005960,5.2
KR,005990,2.19
KR,006040,2.9
KR,006060,5.3
KR,006090,1.07
KR,006110,0.1
KR,006120,3.7
KR,006140,3.5
KR,006200,3.0
KR,006220,0.7
KR,006260,1.12
KR,006280,0.9
KR,006360,2.2
KR,006620,2.2
KR,006650,0.88
KR,006660,0.6
KR,006730,0.8
KR,006800,0.4
KR,006880,1.7
KR,006890,2.2
KR,006980,7.88
KR,007070,2.7
KR,007160,0.3
KR,007210,1.5
KR,007280,13.4
KR,007310,2.2
KR,007340,3.6
KR,007370,2.8
KR,007530,0.7
KR,007540,0.4
KR,007570,1.19
KR,007590,5.2
KR,007660,0.2
KR,007680,4.98
KR,007690,3.5
KR,007700,2.5
KR,007810,0.3
KR,007860,2.54
KR,007980,3.6
KR,008060,10.1
KR,008250,2.1
KR,008260,2.77
KR,008370,8.74
KR,008420,2.38
KR,008470,1.94
KR,008490,2.3
KR,008500,3.0
KR,008730,0.9
KR,008830,0.2
KR,008870,1.9
KR,008930,0.79
KR,009070,1.21
KR,009140,2.4
KR,009150,0.9
KR,009160,5.3
KR,009180,7.1
KR,009200,6.3
KR,009270,3.2
KR,009290,1.1
KR,009300,5.2
KR,009450,1.34
KR,009470,2.0
KR,009520,0.1
KR,009580,5.1
KR,009680,6.8
KR,009770,3.17
KR,009780,1.6
KR,009900,1.11
KR,009970,2.9
KR,010060,0.84
KR,010100,1.8
KR,010120,0.5
KR,010130,1.5
KR,010240,5.2
KR,010400,3.68
KR,010470,4.7
KR,010640,4.1
KR,010660,0.4
KR,010690,2.0
KR,010770,3.88
KR,010780,2.0
KR,010950,0.3
KR,010960,5.26
KR,011040,4.9
KR,011070,0.7
KR,011170,1.27
KR,011200,3.4
KR,011210,1.4
KR,011320,1.2
KR,011370,5.34
KR,011390,0.3
KR,011500,0.3
KR,011560,4.1
KR,011760,3.1
KR,011780,1.4
KR,012280,3.56
KR,012330,1.6
KR,012450,0.7
KR,012510,0.7
KR,012610,1.1
KR,012620,3.2
KR,012630,2.0
KR,012700,3.94
KR,012750,4.1
KR,012790,3.0
KR,012860,2.89
KR,013030,3.9
KR,013120,3.17
KR,013310,3.4
KR,013520,3.4
KR,013570,3.2
KR,013580,3.0
KR,013700,2.5
KR,013870,4.7
KR,013890,0.7
KR,014280,1.73
KR,014440,6.6
KR,014530,5.69
KR,014570,4.12
KR,014580,3.1
KR,014620,0.7
KR,014680,0.9
KR,014710,0.53
KR,014820,2.1
KR,014830,2.5
KR,014910,0.45
