market,ticker,dividendYield,dividendPolicy,dividendSource,yieldStatus,reviewReason
US,A,0.86,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AA,0.56,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AACG,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,AAL,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,AAON,0.28,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AAPL,0.34,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AAT,6.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ABBV,3.14,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ABEV,0.7,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ABNB,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ABR,19.16,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price
US,ABT,2.82,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ABTC,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ACGL,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ACHC,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ACI,3.82,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ACM,1.56,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ACN,1.73,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ACR,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ACRE,12.13,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADAM,9.61,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADAMG,9.01,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADAMH,7.02,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADAMI,8.98,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADAMO,1.98,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADBE,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ADC,4.12,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADI,0.99,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADM,2.63,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADP,2.93,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,ADSK,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,ADT,3.14,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AEE,2.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AEG,2.52,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AEI,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,AEM,0.94,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AEP,2.9,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AER,0.75,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AES,4.8,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AFCG,9.46,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AFG,5.13,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AFL,2.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AFRM,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend
US,AFYA,4.66,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AGCO,1.02,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AGI,0.17,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AGNC,13.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AGNT,4.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AHR,1.97,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
US,AHRT,8.06,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,
